unique_id_num,unique_id,date_tagged,tagging_crew,tagger,use,total_length,year,date_detected,time_detected,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,highest_signal,current_fate,current_fate_num,fate_detailed,fate_detailed_num,final_fate_simplified,notes,tagging_section,survey_section,season,season_use,spawning_season,tagging_habitat,life_history,section_most_occupied,homerange,cumulative_distance_traveled,cumulative_distance_traveled_per_obs,mean_upriver_position,,unique_id_num,unique_id,time_detected
9,10-9,9/24/2018,"BC, HS",,Y,687,2018,9/24/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.86132,-151.29437,NA,alive,0,dead,1,Mortality,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,9,10-9,12:00:00 AM
9,10-9,9/24/2018,"BC, HS",,Y,687,2019,2/5/2019, 2:11:01 PM,2,1,wing,FALSE,125,4,64.887244,-151.249364,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,Y,2018_2019,mainstem,mainstem,Lower,,,,,,9,10-9, 2:11:01 PM
9,10-9,9/24/2018,"BC, HS",,N,687,2019,4/29/2019,12:00:00 AM,2.5,5,Yukon belly,FALSE,0,0,64.88609,-151.249789,NA,alive,0,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,9,10-9,12:00:00 AM
9,10-9,9/24/2018,"BC, HS",,Y,687,2019,5/19/2019, 5:23:35 PM,3,1,belly,FALSE,78,1,64.887057,-151.2798,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,9,10-9, 5:23:35 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2019,7/26/2019, 4:02:26 PM,4,2,belly,FALSE,92,6,64.873542,-151.283552,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,3_summer,Y,,mainstem,mainstem,Lower,,,,,,9,10-9, 4:02:26 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2019,12/18/2019,12:52:34 PM,6,2,belly,FALSE,84,7,64.782568,-150.019658,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,9,10-9,12:52:34 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2020,2/8/2020,12:16:43 PM,8,2,wing,FALSE,68,5,64.770591,-149.877693,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,Y,2019_2020,mainstem,mainstem,Lower,,,,,,9,10-9,12:16:43 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2020,5/27/2020, 3:55:49 PM,9,1,wing,FALSE,77,7,65.074415,-151.64502,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,9,10-9, 3:55:49 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2020,7/28/2020, 1:47:04 PM,10,1,belly,TRUE,60,10,65.082877,-151.616687,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,3_summer,Y,,mainstem,mainstem,Lower,,,,,,9,10-9, 1:47:04 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2020,10/22/2020, 1:14:50 PM,11,1,belly,TRUE,100,10,65.076105,-151.637542,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,4_fall,Y,,mainstem,mainstem,Lower,,,,,,9,10-9, 1:14:50 PM
