"","Tagging_Date","Unique_fish_number","Frequency_tag_ID_Identifier","Section_Tagged","Final_Fate","Last_Date_Found_Alive","Days_Alive","Home_Range_RKM","Cumulative_Distance_Traveled_RKM","Cumulative_Distance_Traveled_per_Observation_Interval","Section_Most_Occupied","Mean_Upriver_Position","Life_History"
"265","5/7/2019",265,"34-56","Middle","",2019-07-25,79,8.4674748193503,11.8794494985631,5.93972474928154,"Middle",363.266344650372,"mainstem"
"266","9/25/2019",266,"34-56.2","Upper","",2020-05-28,246,26.0163287177656,46.6221590718604,9.32443181437209,"Upper",940.67236388824,"tributary"
"267","5/22/2019",267,"34-57","Upper","",2020-11-01,529,63.5568442279029,100.9300987028,20.1860197405601,"Upper",931.856637675939,"tributary"
"268","5/9/2019",268,"34-58","Middle","",2020-05-28,385,172.69778470996,199.722317795193,28.5317596850276,"Middle",438.667037377182,"tributary"
"269","6/5/2019",269,"34-59","Middle","",2021-01-27,602,71.0089548040691,108.058451463259,13.5073064329074,"Middle",288.255799053964,"mainstem"
"270","5/9/2019",270,"34-60","Middle","",2019-07-26,78,58.0264627666306,58.0264627666306,29.0132313833153,"Middle",311.50192558496,"mainstem"
"271","5/17/2019",271,"34-61","Middle","",2020-01-15,243,28.7814640715107,40.0961564868404,10.0240391217101,"Middle",411.341680940352,"tributary"
"272","5/9/2019",272,"34-62","Middle","",2019-10-07,151,3.11450026852454,3.11450026852454,1.03816675617485,"Middle",356.758371605367,"mainstem"
"273","5/15/2019",273,"34-63","Middle","",2019-12-18,217,40.2335785661826,40.2335785661827,40.2335785661827,"Middle",402.167438014136,"tributary"
"274","5/2/2019",274,"34-64","Middle","",2019-07-26,85,1.57528570240025,2.48781855573595,1.24390927786798,"Middle",371.474596927193,"tributary"
"275","5/2/2019",275,"34-65","Middle","",2019-05-02,0,0,0,NA,"Middle",349.016563969775,"tributary"
"276","5/15/2019",276,"34-66","Middle","",2020-02-05,266,82.4047610938906,121.865529321855,40.6218431072849,"Middle",406.128494444377,"tributary"
"277","5/14/2019",277,"34-67","Middle","",2019-07-26,73,54.0062788273729,54.0062788273729,54.0062788273729,"Middle",313.066332150054,"tributary"
"278","9/19/2018",278,"34-68","Upper","",2020-11-01,774,16.4294693804191,24.2396507109198,2.20360461008362,"Upper",529.434818148399,"mainstem"
"279","9/21/2018",279,"34-69","Upper","",2019-07-25,307,10.5280056320238,13.6323208110755,6.81616040553775,"Upper",571.890686011969,"mainstem"
"280","9/21/2018",280,"34-70","Upper","",2018-09-21,0,0,0,NA,"Upper",563.281200383152,"mainstem"
"281","9/19/2018",281,"34-71","Upper","",2019-05-20,243,33.726573027139,35.584559536279,17.7922797681395,"Upper",577.88854562624,"lake"
"282","9/21/2018",282,"34-72","Upper","",2018-09-21,0,0,0,NA,"Upper",565.90431766627,"mainstem"
